accession	Pango_lineage	clade	genotype	CHIKVnext_lineage
MT038393	C.1.1	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
PP862724	D	II-ECSA		
OR631914	D	II-ECSA	East-Central-South-African	
PQ673601	D	II-ECSA	East-Central-South-African	
PX657144	D	II-ECSA		
PX651953	D	II-ECSA		
MK473640	E	II-ECSA		Indian Ocean Lineage
MK473629	E	II-ECSA		Indian Ocean Lineage
MK473639	E	II-ECSA		Indian Ocean Lineage
MK473624	E	II-ECSA		Indian Ocean Lineage
MF503628	E	II-ECSA		Indian Ocean Lineage
MK473636	E	II-ECSA		Indian Ocean Lineage
MK473631	E	II-ECSA		Indian Ocean Lineage
KY057363	E	II-ECSA		Indian Ocean Lineage
MK473622	E	II-ECSA		Indian Ocean Lineage
MK473635	E	II-ECSA		Indian Ocean Lineage
MK473621	E	II-ECSA		Indian Ocean Lineage
MK473632	E	II-ECSA		Indian Ocean Lineage
MH124583	E	II-ECSA		Indian Ocean Lineage
MK473625	E	II-ECSA		Indian Ocean Lineage
MH124582	E	II-ECSA		Indian Ocean Lineage
MH124580	E	II-ECSA		Indian Ocean Lineage
MF774614	E	II-ECSA		
MF774613	E	II-ECSA		
MF774619	E	II-ECSA		Indian Ocean Lineage
MF774618	E	II-ECSA		Indian Ocean Lineage
MF774617	E	II-ECSA		Indian Ocean Lineage
MF774616	E	II-ECSA		Indian Ocean Lineage
MF774615	E	II-ECSA		Indian Ocean Lineage
MF740874	E	II-ECSA	ECSA	Indian Ocean Lineage
MH349097	E	II-ECSA		Indian Ocean Lineage
MK286899	E	II-ECSA		Indian Ocean Lineage
MK370032	E	II-ECSA		
KY751908	E	II-ECSA	ECSA	Indian Ocean Lineage
MK473634	E	II-ECSA		Indian Ocean Lineage
MK473633	E	II-ECSA		Indian Ocean Lineage
MK473630	E	II-ECSA		Indian Ocean Lineage
MH124581	E	II-ECSA		Indian Ocean Lineage
MK473638	E	II-ECSA		Indian Ocean Lineage
MK473637	E	II-ECSA		Indian Ocean Lineage
MK473623	E	II-ECSA		Indian Ocean Lineage
OR626603	E	II-ECSA	ECSA	
MF499120	E	II-ECSA		Indian Ocean Lineage
MK286898	E	II-ECSA		Indian Ocean Lineage
MK286897	E	II-ECSA		Indian Ocean Lineage
MK286896	E	II-ECSA		
MK286894	E	II-ECSA		Indian Ocean Lineage
MK286893	E	II-ECSA		Indian Ocean Lineage
MG137428	E	II-ECSA	Indian ocean lineage-ECSA	Indian Ocean Lineage
MW321606	E	II-ECSA	ECSA	Indian Ocean Lineage
MK370033	E	II-ECSA		Indian Ocean Lineage
MW574902	E	II-ECSA		Indian Ocean Lineage
OQ605438	E	II-ECSA	ECSA	
OQ605444	E	II-ECSA	ECSA	
OQ605435	E	II-ECSA	ECSA	
MW042255	E	II-ECSA	ECSA-IOL	Indian Ocean Lineage
MK473628	E	II-ECSA		Indian Ocean Lineage
MK473627	E	II-ECSA		Indian Ocean Lineage
PV626821	E	II-ECSA		
PV626819	E	II-ECSA		
MG925665	E	II-ECSA		Indian Ocean Lineage
PV626818	E	II-ECSA		
OP168369	E	II-ECSA		
OP168362	E	II-ECSA		
OP168361	E	II-ECSA		
OP168358	E	II-ECSA		
OP168356	E	II-ECSA		
OP168355	E	II-ECSA		
OP168370	E	II-ECSA		
OP168368	E	II-ECSA		
OP168367	E	II-ECSA		
OP168366	E	II-ECSA		
OP168365	E	II-ECSA		
OP168364	E	II-ECSA		
OP168363	E	II-ECSA		
OP168360	E	II-ECSA		
OP168359	E	II-ECSA		
OP168357	E	II-ECSA		
OP168354	E	II-ECSA		
LC331252	E	II-ECSA		Indian Ocean Lineage
MK473626	E	II-ECSA		Indian Ocean Lineage
MK551553	E	II-ECSA		Indian Ocean Lineage
MK551552	E	II-ECSA		Indian Ocean Lineage
MK518340	E	II-ECSA		Indian Ocean Lineage
MN954552	E	II-ECSA		Indian Ocean Lineage
PP896920	E	II-ECSA	East-Central-South-African	
PP896919	E	II-ECSA	East-Central-South-African	
OQ605447	E	II-ECSA	ECSA	
OQ605448	E	II-ECSA	ECSA	
OQ605446	E	II-ECSA	ECSA	
OQ605445	E	II-ECSA	ECSA	
OQ605451	E	II-ECSA	ECSA	
OQ605450	E	II-ECSA	ECSA	
OQ605449	E	II-ECSA	ECSA	
OQ605443	E	II-ECSA	ECSA	
PP896918	E	II-ECSA	East-Central-South-African	
PP896915	E	II-ECSA	East-Central-South-African	
PP896902	E	II-ECSA	East-Central-South-African	
PP896898	E	II-ECSA	East-Central-South-African	
PP896896	E	II-ECSA	East-Central-South-African	
PP896917	E	II-ECSA	East-Central-South-African	
PP896911	E	II-ECSA	East-Central-South-African	
PP896913	E	II-ECSA	East-Central-South-African	
PP896908	E	II-ECSA	East-Central-South-African	
PP896895	E	II-ECSA	East-Central-South-African	
OR715104	E	II-ECSA	ECSA	
OK139083	E	II-ECSA		Indian Ocean Lineage
OR470611	E	II-ECSA	ECSA	
OR470610	E	II-ECSA	ECSA	
OR470609	E	II-ECSA	ECSA	
OQ605442	E	II-ECSA	ECSA	
OQ605441	E	II-ECSA	ECSA	
OQ605439	E	II-ECSA	ECSA	
OQ605437	E	II-ECSA	ECSA	
OQ605440	E	II-ECSA	ECSA	
OQ605436	E	II-ECSA	ECSA	
OQ605454	E	II-ECSA	ECSA	
OQ605453	E	II-ECSA	ECSA	
OQ605452	E	II-ECSA	ECSA	
OQ605434	E	II-ECSA	ECSA	
PV054365	E	II-ECSA	Eastern/Central/Southern Africa	
PV054364	E	II-ECSA	Eastern/Central/Southern Africa	
PV054363	E	II-ECSA	Eastern/Central/Southern Africa	
PV054362	E	II-ECSA	Eastern/Central/Southern Africa	
PV054361	E	II-ECSA	Eastern/Central/Southern Africa	
PV054360	E	II-ECSA	Eastern/Central/Southern Africa	
ON887079	E	II-ECSA		
ON887081	E	II-ECSA		
ON887080	E	II-ECSA		
ON838557	E	II-ECSA		
ON838556	E	II-ECSA	ECSA	
PP896914	E	II-ECSA	East-Central-South-African	
PP896910	E	II-ECSA	East-Central-South-African	
PP896909	E	II-ECSA	East-Central-South-African	
PP896912	E	II-ECSA	East-Central-South-African	
PP896916	E	II-ECSA	East-Central-South-African	
PP896907	E	II-ECSA	East-Central-South-African	
PP896906	E	II-ECSA	East-Central-South-African	
PP896905	E	II-ECSA	East-Central-South-African	
PP896901	E	II-ECSA	East-Central-South-African	
PP896904	E	II-ECSA	East-Central-South-African	
PP896903	E	II-ECSA	East-Central-South-African	
PP896900	E	II-ECSA	East-Central-South-African	
PP896899	E	II-ECSA	East-Central-South-African	
PP896897	E	II-ECSA	East-Central-South-African	
PP896894	E	II-ECSA	East-Central-South-African	
PP896921	E	II-ECSA	East-Central-South-African	
PV660470	E.1	II-ECSA	Indian Ocean Lineage (IOL)	
PV660469	E.1	II-ECSA	Indian Ocean Lineage (IOL)	
PV660468	E.1	II-ECSA	Indian Ocean Lineage (IOL)	
PV660471	E.1	II-ECSA	Indian Ocean Lineage (IOL)	
PV660467	E.1	II-ECSA	Indian Ocean Lineage (IOL)	
PV660466	E.1	II-ECSA	Indian Ocean Lineage (IOL)	
PX425075	E.1	II-ECSA		
PX701737	E.1	II-ECSA		
PX701736	E.1	II-ECSA		
MH423800	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423798	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423810	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423806	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423805	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423804	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423803	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423802	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423801	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423799	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MH423797	E.2	II-ECSA	ECSA	Indian Ocean Lineage
MW588419	E.3	II-ECSA		
MW588418	E.3	II-ECSA		
OR412350	E.3	II-ECSA	East/Central/South African	
OR412349	E.3	II-ECSA	East/Central/South African	
LC664156	E.4	II-ECSA		Indian Ocean Lineage
LC664153	E.4	II-ECSA		Indian Ocean Lineage
LC664152	E.4	II-ECSA		Indian Ocean Lineage
LC664151	E.4	II-ECSA		Indian Ocean Lineage
LC664147	E.4	II-ECSA		Indian Ocean Lineage
LC664155	E.4	II-ECSA		Indian Ocean Lineage
LC664150	E.4	II-ECSA		Indian Ocean Lineage
LC664149	E.4	II-ECSA		Indian Ocean Lineage
LC664148	E.4	II-ECSA		Indian Ocean Lineage
LC664146	E.4	II-ECSA		Indian Ocean Lineage
LC664154	E.4	II-ECSA		Indian Ocean Lineage
LC664145	E.4	II-ECSA		Indian Ocean Lineage
LC664144	E.4	II-ECSA		Indian Ocean Lineage
LC664143	E.4	II-ECSA		Indian Ocean Lineage
LC664142	E.4	II-ECSA		Indian Ocean Lineage
LC664141	E.4	II-ECSA		Indian Ocean Lineage
MT526800	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT526807	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT526805	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT526806	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT526804	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT526799	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT526798	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT526797	E.5	II-ECSA	ECSA	
MT526796	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MT380161	E.5	II-ECSA		Indian Ocean Lineage
MT380157	E.5	II-ECSA		
MT380153	E.5	II-ECSA		
MT380160	E.5	II-ECSA		
MT380159	E.5	II-ECSA		
MT380158	E.5	II-ECSA		
MT380156	E.5	II-ECSA		
MT380155	E.5	II-ECSA		
MT380154	E.5	II-ECSA		
MT380152	E.5	II-ECSA		
MT380151	E.5	II-ECSA		
MT380150	E.5	II-ECSA		
MT380148	E.5	II-ECSA		
MT380162	E.5	II-ECSA		
MT380149	E.5	II-ECSA		
MT380147	E.5	II-ECSA		
MT380146	E.5	II-ECSA		
MW161409	E.5	II-ECSA		Indian Ocean Lineage
MK163628	E.5	II-ECSA		Indian Ocean Lineage
MT023791	E.5	II-ECSA	ECSA	Indian Ocean Lineage
MW161460	E.5	II-ECSA		Indian Ocean Lineage
MW161459	E.5	II-ECSA		Indian Ocean Lineage
MW161458	E.5	II-ECSA		Indian Ocean Lineage
MW161457	E.5	II-ECSA		Indian Ocean Lineage
MW161456	E.5	II-ECSA		Indian Ocean Lineage
MW161455	E.5	II-ECSA		Indian Ocean Lineage
MW161454	E.5	II-ECSA		Indian Ocean Lineage
MW161453	E.5	II-ECSA		Indian Ocean Lineage
MW161452	E.5	II-ECSA		Indian Ocean Lineage
MW161451	E.5	II-ECSA		Indian Ocean Lineage
MW161450	E.5	II-ECSA		Indian Ocean Lineage
MW161449	E.5	II-ECSA		Indian Ocean Lineage
MW161448	E.5	II-ECSA		Indian Ocean Lineage
MW161447	E.5	II-ECSA		Indian Ocean Lineage
MW161446	E.5	II-ECSA		Indian Ocean Lineage
MW161445	E.5	II-ECSA		
MW161444	E.5	II-ECSA		Indian Ocean Lineage
MW161443	E.5	II-ECSA		Indian Ocean Lineage
MW161441	E.5	II-ECSA		Indian Ocean Lineage
MW161440	E.5	II-ECSA		Indian Ocean Lineage
MW161439	E.5	II-ECSA		
MW161433	E.5	II-ECSA		Indian Ocean Lineage
MW161430	E.5	II-ECSA		Indian Ocean Lineage
MW161428	E.5	II-ECSA		Indian Ocean Lineage
MW161427	E.5	II-ECSA		Indian Ocean Lineage
MW161425	E.5	II-ECSA		Indian Ocean Lineage
MW161422	E.5	II-ECSA		Indian Ocean Lineage
MW161421	E.5	II-ECSA		Indian Ocean Lineage
MW161420	E.5	II-ECSA		Indian Ocean Lineage
MW161419	E.5	II-ECSA		Indian Ocean Lineage
MW161417	E.5	II-ECSA		Indian Ocean Lineage
MW161416	E.5	II-ECSA		Indian Ocean Lineage
MW161415	E.5	II-ECSA		Indian Ocean Lineage
MW161414	E.5	II-ECSA		Indian Ocean Lineage
MW161413	E.5	II-ECSA		Indian Ocean Lineage
MW161412	E.5	II-ECSA		Indian Ocean Lineage
MW161408	E.5	II-ECSA		Indian Ocean Lineage
MW161405	E.5	II-ECSA		Indian Ocean Lineage
MW161404	E.5	II-ECSA		Indian Ocean Lineage
MW161438	E.5	II-ECSA		Indian Ocean Lineage
MW161437	E.5	II-ECSA		Indian Ocean Lineage
MW161436	E.5	II-ECSA		Indian Ocean Lineage
MW161435	E.5	II-ECSA		Indian Ocean Lineage
MW161402	E.5	II-ECSA		Indian Ocean Lineage
MW161401	E.5	II-ECSA		Indian Ocean Lineage
MW161400	E.5	II-ECSA		Indian Ocean Lineage
MW161399	E.5	II-ECSA		Indian Ocean Lineage
MW161398	E.5	II-ECSA		Indian Ocean Lineage
MW161397	E.5	II-ECSA		Indian Ocean Lineage
MW161396	E.5	II-ECSA		Indian Ocean Lineage
MW161395	E.5	II-ECSA		Indian Ocean Lineage
MW161392	E.5	II-ECSA		Indian Ocean Lineage
MW161387	E.5	II-ECSA		Indian Ocean Lineage
MW161386	E.5	II-ECSA		Indian Ocean Lineage
MW161384	E.5	II-ECSA		Indian Ocean Lineage
MW161382	E.5	II-ECSA		Indian Ocean Lineage
MW161381	E.5	II-ECSA		Indian Ocean Lineage
MW161380	E.5	II-ECSA		Indian Ocean Lineage
MW161378	E.5	II-ECSA		Indian Ocean Lineage
MW161377	E.5	II-ECSA		Indian Ocean Lineage
MW161376	E.5	II-ECSA		Indian Ocean Lineage
MW161442	E.5	II-ECSA		Indian Ocean Lineage
MW161434	E.5	II-ECSA		Indian Ocean Lineage
MW161432	E.5	II-ECSA		Indian Ocean Lineage
MW161423	E.5	II-ECSA		
MW161394	E.5	II-ECSA		
MW161391	E.5	II-ECSA		Indian Ocean Lineage
MW161390	E.5	II-ECSA		
MW161389	E.5	II-ECSA		Indian Ocean Lineage
MW161375	E.5	II-ECSA		Indian Ocean Lineage
MW161429	E.5	II-ECSA		Indian Ocean Lineage
MW161373	E.5	II-ECSA		Indian Ocean Lineage
MW161431	E.5	II-ECSA		Indian Ocean Lineage
MW161372	E.5	II-ECSA		Indian Ocean Lineage
MW161371	E.5	II-ECSA		Indian Ocean Lineage
MW161370	E.5	II-ECSA		Indian Ocean Lineage
MW161369	E.5	II-ECSA		
MW161411	E.5	II-ECSA		Indian Ocean Lineage
MW161368	E.5	II-ECSA		Indian Ocean Lineage
MW161410	E.5	II-ECSA		Indian Ocean Lineage
MW161407	E.5	II-ECSA		Indian Ocean Lineage
MW161403	E.5	II-ECSA		Indian Ocean Lineage
MW161383	E.5	II-ECSA		Indian Ocean Lineage
MW161366	E.5	II-ECSA		Indian Ocean Lineage
MW161418	E.5	II-ECSA		Indian Ocean Lineage
MW161406	E.5	II-ECSA		Indian Ocean Lineage
MW161385	E.5	II-ECSA		Indian Ocean Lineage
MW161388	E.5	II-ECSA		Indian Ocean Lineage
MW161367	E.5	II-ECSA		Indian Ocean Lineage
MW161365	E.5	II-ECSA		Indian Ocean Lineage
MW161364	E.5	II-ECSA		Indian Ocean Lineage
MT495605	E.6	II-ECSA		Indian Ocean Lineage
PV022126	E.6	II-ECSA	ECSA	
PV022114	E.6	II-ECSA	ECSA	
PV022117	E.6	II-ECSA	ECSA	
MN402891	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022124	E.6	II-ECSA	ECSA	
PV879499	E.6	II-ECSA		
PV879489	E.6	II-ECSA		
LC580266	E.6	II-ECSA		Indian Ocean Lineage
MT640255	E.6	II-ECSA		Indian Ocean Lineage
MT668625	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV879498	E.6	II-ECSA		
PV683454	E.6	II-ECSA	ECSA	
MN756625	E.6	II-ECSA		Indian Ocean Lineage
MN974210	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974204	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022115	E.6	II-ECSA	ECSA	
MN402884	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN402883	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN402892	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022110	E.6	II-ECSA	ECSA	
PV879494	E.6	II-ECSA		
PV879493	E.6	II-ECSA		
PV879479	E.6	II-ECSA		
LC580264	E.6	II-ECSA		Indian Ocean Lineage
MT495607	E.6	II-ECSA		Indian Ocean Lineage
MT495606	E.6	II-ECSA		Indian Ocean Lineage
PV879496	E.6	II-ECSA		
LC664166	E.6	II-ECSA		Indian Ocean Lineage
LC664160	E.6	II-ECSA		Indian Ocean Lineage
OQ918703	E.6	II-ECSA	ECSA	
PP599025	E.6	II-ECSA		
PQ637692	E.6	II-ECSA		
PQ637697	E.6	II-ECSA		
PQ637700	E.6	II-ECSA		
PQ637691	E.6	II-ECSA		
PQ637702	E.6	II-ECSA		
PQ637699	E.6	II-ECSA		
PQ637710	E.6	II-ECSA		
PQ637708	E.6	II-ECSA		
PQ637707	E.6	II-ECSA		
PQ637705	E.6	II-ECSA		
PQ637709	E.6	II-ECSA		
PQ637706	E.6	II-ECSA		
PQ637704	E.6	II-ECSA		
PQ637703	E.6	II-ECSA		
PQ637701	E.6	II-ECSA		
PQ637698	E.6	II-ECSA		
PQ637696	E.6	II-ECSA		
PQ637694	E.6	II-ECSA		
PQ637693	E.6	II-ECSA		
PQ637689	E.6	II-ECSA		
PQ637695	E.6	II-ECSA		
PQ637690	E.6	II-ECSA		
PQ637688	E.6	II-ECSA		
PQ637687	E.6	II-ECSA		
PQ637686	E.6	II-ECSA		
PQ637685	E.6	II-ECSA		
PQ637680	E.6	II-ECSA		
LC664165	E.6	II-ECSA		Indian Ocean Lineage
PQ637678	E.6	II-ECSA		
PV066168	E.6	II-ECSA	ECSA	
PQ637676	E.6	II-ECSA		
PV683455	E.6	II-ECSA	ECSA	
MW291576	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022122	E.6	II-ECSA	ECSA	
PV022121	E.6	II-ECSA	ECSA	
PV879480	E.6	II-ECSA		
LC664161	E.6	II-ECSA		Indian Ocean Lineage
LC664164	E.6	II-ECSA		Indian Ocean Lineage
PQ637675	E.6	II-ECSA		
PV683453	E.6	II-ECSA	ECSA	
PV683450	E.6	II-ECSA	ECSA	
MW110474	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MW248363	E.6	II-ECSA		Indian Ocean Lineage
MN402886	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MW110477	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MW110476	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MW110475	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MW248364	E.6	II-ECSA		Indian Ocean Lineage
PP501554	E.6	II-ECSA		
PP501552	E.6	II-ECSA		
PV879497	E.6	II-ECSA		
PV879485	E.6	II-ECSA		
PV683457	E.6	II-ECSA	ECSA	
PV683452	E.6	II-ECSA	ECSA	
PV683451	E.6	II-ECSA	ECSA	
PV683447	E.6	II-ECSA	ECSA	
PV683446	E.6	II-ECSA	ECSA	
MW110473	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MW110472	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN402889	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN402887	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022118	E.6	II-ECSA	ECSA	
PV683456	E.6	II-ECSA	ECSA	
OR037308	E.6	II-ECSA		
PV683449	E.6	II-ECSA	ECSA	
PV683444	E.6	II-ECSA	ECSA	
PV664498	E.6	II-ECSA	ECSA	
MN630017	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580267	E.6	II-ECSA		Indian Ocean Lineage
LC580265	E.6	II-ECSA		Indian Ocean Lineage
LC580261	E.6	II-ECSA		Indian Ocean Lineage
LC580258	E.6	II-ECSA		Indian Ocean Lineage
LC580257	E.6	II-ECSA		Indian Ocean Lineage
LC580256	E.6	II-ECSA		Indian Ocean Lineage
MT640256	E.6	II-ECSA		Indian Ocean Lineage
LC664162	E.6	II-ECSA		Indian Ocean Lineage
PV066169	E.6	II-ECSA	ECSA	
LC664163	E.6	II-ECSA		Indian Ocean Lineage
PQ637673	E.6	II-ECSA		
MN402885	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022127	E.6	II-ECSA	ECSA	
PV022125	E.6	II-ECSA	ECSA	
PV022116	E.6	II-ECSA	ECSA	
MN402890	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022112	E.6	II-ECSA	ECSA	
PV022111	E.6	II-ECSA	ECSA	
MN402888	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PV022113	E.6	II-ECSA	ECSA	
PV683448	E.6	II-ECSA	ECSA	
PV683445	E.6	II-ECSA	ECSA	
MK848202	E.6	II-ECSA		Indian Ocean Lineage
MN974215	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974214	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK040571	E.6	II-ECSA		Indian Ocean Lineage
MK040570	E.6	II-ECSA		Indian Ocean Lineage
MK040569	E.6	II-ECSA		Indian Ocean Lineage
MZ443816	E.6	II-ECSA		Indian Ocean Lineage
MZ443815	E.6	II-ECSA		Indian Ocean Lineage
MZ443814	E.6	II-ECSA		Indian Ocean Lineage
MZ443813	E.6	II-ECSA		Indian Ocean Lineage
MK468801	E.6	II-ECSA		Indian Ocean Lineage
MN974219	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974218	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974222	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974217	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974220	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974211	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974216	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974207	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974208	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974213	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974206	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974203	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580268	E.6	II-ECSA		Indian Ocean Lineage
LC580260	E.6	II-ECSA		Indian Ocean Lineage
LC580259	E.6	II-ECSA		Indian Ocean Lineage
ON262796	E.6	II-ECSA	ECSA	
ON262794	E.6	II-ECSA	ECSA	
PP193837	E.6	II-ECSA		
PP193833	E.6	II-ECSA		
PP193835	E.6	II-ECSA		
PP193836	E.6	II-ECSA		
PP193834	E.6	II-ECSA		
PP193832	E.6	II-ECSA		
ON262793	E.6	II-ECSA	ECSA	
PP626396	E.6	II-ECSA		
PP626395	E.6	II-ECSA		
OR037309	E.6	II-ECSA		
OR037307	E.6	II-ECSA		
PV022119	E.6	II-ECSA	ECSA	
MT495608	E.6	II-ECSA		Indian Ocean Lineage
LC664157	E.6	II-ECSA		Indian Ocean Lineage
PP501553	E.6	II-ECSA		
MN974212	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974205	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MN974209	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580263	E.6	II-ECSA		Indian Ocean Lineage
PV879492	E.6	II-ECSA		
PP193843	E.6	II-ECSA		
MN974223	E.6	II-ECSA	ECSA	Indian Ocean Lineage
